id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,minimum_nights,number_of_reviews,availability_365,calculated_host_listings_count
791365259981867392,461928267,Manhattan,Hell's Kitchen,40.75280903762068,-73.99367110198384,Entire home/apt,30.0,0,0,1
791371524330750277,493024482,Brooklyn,Fort Greene,40.6966017,-73.9747498,Private room,30.0,1,0,18
791382115379320797,487732432,Manhattan,Midtown,40.75441,-73.96702,Entire home/apt,30.0,17,0,21
791460584187166313,327347956,Brooklyn,East New York,40.67064154828808,-73.8704896183458,Private room,30.0,6,164,3
791539646807027059,493039547,Manhattan,Washington Heights,40.8547035,-73.9384232,Private room,30.0,0,365,1
791547385152000202,450547497,Queens,Jamaica,40.70481639052924,-73.79911791533232,Entire home/apt,30.0,23,364,2
787900887666890786,492149141,Bronx,Morris Heights,40.8516481,-73.9207176,Private room,30.0,17,7,2
787917881988426164,26377263,Queens,Far Rockaway,40.5979873,-73.7561801,Private room,30.0,5,210,43
787927073413255581,471345215,Queens,Ozone Park,40.674555983998175,-73.85667636928436,Private room,30.0,8,354,27
787999065887227438,492458108,Manhattan,Chinatown,40.713293037002,-73.99556845971601,Entire home/apt,30.0,22,230,1
788055270949292372,26377263,Queens,Far Rockaway,40.5979873,-73.7561801,Private room,30.0,0,161,43
788070664074856714,26377263,Queens,Far Rockaway,40.5979873,-73.7561801,Private room,30.0,1,315,43
788247508204883788,107434423,Brooklyn,Clinton Hill,40.6820059,-73.96747599999999,Entire home/apt,30.0,1,187,1210
788308144653208576,51913277,Brooklyn,Sunset Park,40.65692944675748,-74.0035091359383,Private room,30.0,68,141,8
788328674800030171,189199682,Bronx,North Riverdale,40.905301960388016,-73.89823022911365,Entire home/apt,30.0,6,270,3
788465505169839820,38592279,Manhattan,Hell's Kitchen,40.75331,-73.99555,Private room,1.0,55,123,20
791899211876811806,54836034,Brooklyn,Prospect-Lefferts Gardens,40.658608309467205,-73.96107866871611,Entire home/apt,30.0,0,173,2
791933017132228878,442517492,Brooklyn,Williamsburg,40.71343,-73.95142,Private room,1.0,153,120,3
791961034657424212,80827479,Queens,Sunnyside,40.74175082789435,-73.91807242831042,Private room,30.0,8,298,3
792014763599128593,493191472,Queens,Springfield Gardens,40.6588739,-73.7517159,Entire home/apt,30.0,6,365,1
792016520538275128,493024482,Brooklyn,Fort Greene,40.6966017,-73.9747498,Private room,30.0,0,0,18
792034633163081131,471345215,Queens,Ozone Park,40.67459502111388,-73.85974377225887,Private room,30.0,5,107,27
792067793364366503,493195190,Queens,Maspeth,40.73660339955632,-73.89982715337787,Private room,30.0,1,0,1
792071572004799347,493207893,Brooklyn,Williamsburg,40.70709674077416,-73.94905173931755,Private room,30.0,2,365,18
792084481792213383,488786670,Brooklyn,Bushwick,40.68604089999999,-73.9129553,Entire home/apt,30.0,17,89,2
792127771538948078,472836641,Brooklyn,East New York,40.65750239244908,-73.89625939732065,Entire home/apt,30.0,43,349,1
788537271422081521,55086196,Brooklyn,Williamsburg,40.71698,-73.95922,Entire home/apt,30.0,5,0,1
788636784435692945,492553923,Queens,Kew Gardens Hills,40.72296,-73.81623,Entire home/apt,30.0,10,0,1
788972847900260034,492594506,Queens,Corona,40.74500363193929,-73.85828762467429,Private room,30.0,17,364,1
789029499490692194,469266451,Queens,St. Albans,40.69679103079292,-73.77160227937034,Entire home/apt,30.0,20,365,1
789054232678927551,106077181,Manhattan,Upper West Side,40.80086470062733,-73.96076392382383,Entire home/apt,30.0,6,0,1
789257430540589759,491198242,Queens,Long Island City,40.74699633193131,-73.94729062661919,Entire home/apt,30.0,15,365,6
789446125370099615,227056489,Brooklyn,Sheepshead Bay,40.58331189390447,-73.95433925664643,Entire home/apt,2.0,129,227,1
789758936783657072,492698813,Queens,Flushing,40.7617153,-73.8225619,Private room,30.0,4,0,2
789762861812559195,492698813,Queens,Flushing,40.760782033326144,-73.8228774289659,Private room,30.0,9,0,2
789818156626793452,492711196,Manhattan,Midtown,40.75660435790056,-73.96260259626484,Entire home/apt,30.0,3,262,11
789829147997054743,6954579,Brooklyn,Bedford-Stuyvesant,40.68729264709592,-73.95643238118721,Private room,30.0,0,358,1
792134666827224780,42079873,Brooklyn,Bushwick,40.689716454378704,-73.91664830539767,Private room,30.0,0,365,1
792142016859270276,493207893,Brooklyn,Williamsburg,40.706916760523534,-73.95024746398833,Private room,30.0,0,365,18
792154227101270228,493207893,Brooklyn,Williamsburg,40.707443454455095,-73.95048906151655,Private room,30.0,1,365,18
792250086445040724,438274260,Bronx,Allerton,40.86023,-73.85618,Private room,30.0,0,365,1
792261106552376426,145436974,Manhattan,Upper West Side,40.78736,-73.9737,Entire home/apt,90.0,0,359,1
792424049442672164,26377263,Queens,Far Rockaway,40.5979873,-73.7561801,Private room,30.0,1,231,43
792719851832898977,1140882,Brooklyn,Fort Greene,40.6893553,-73.9777045,Private room,30.0,15,349,5
792762785362533299,241454071,Bronx,Hunts Point,40.81894,-73.88547,Private room,2.0,54,152,3
792766482547093509,485946841,Queens,Rosedale,40.6587,-73.72908,Entire home/apt,30.0,2,227,2
789835463760764236,492711196,Manhattan,Midtown,40.75523275887679,-73.96454434796648,Entire home/apt,30.0,4,330,11
789847148265694934,492711196,Manhattan,Midtown,40.75509697628659,-73.96237378411641,Entire home/apt,30.0,5,365,11
789850979080614897,492711196,Manhattan,Midtown,40.75662575107302,-73.96243339652378,Entire home/apt,30.0,0,364,11
789857234658564657,9553670,Brooklyn,East Flatbush,40.64478,-73.95062,Entire home/apt,30.0,4,365,4
789900944936543773,492149141,Bronx,Morris Heights,40.8516481,-73.9207176,Private room,30.0,21,34,2
789958840769275624,13046376,Manhattan,Morningside Heights,40.80632681573049,-73.96580761627371,Entire home/apt,30.0,4,0,1
789961263149182314,104925528,Queens,East Elmhurst,40.766187099485,-73.87409064697167,Private room,30.0,5,8,2
790040738335583345,492757683,Brooklyn,Flatbush,40.641705615974274,-73.95775384655761,Private room,30.0,16,75,1
790110712110282257,208667188,Manhattan,Kips Bay,40.74412359999999,-73.9768118,Entire home/apt,30.0,3,364,7
790126950595547841,3869,Manhattan,Upper West Side,40.7820205516794,-73.97990145293706,Entire home/apt,30.0,0,363,1
792775101360784896,162280872,Manhattan,Upper East Side,40.772404,-73.9544678,Entire home/apt,30.0,0,331,246
792793758746280508,257985993,Manhattan,SoHo,40.72765327208977,-74.00281979824337,Entire home/apt,30.0,3,244,2
792797538929761246,162280872,Manhattan,Upper East Side,40.7706801,-73.9573166,Entire home/apt,30.0,1,290,246
792827337331390990,482353949,Queens,St. Albans,40.70109936473033,-73.76139882485636,Private room,30.0,5,227,1
792894603379980524,3371859,Brooklyn,Crown Heights,40.67630482675821,-73.93960397342943,Private room,30.0,10,240,2
792921296328561476,63281532,Brooklyn,Bedford-Stuyvesant,40.67844769384406,-73.91080193772252,Private room,30.0,0,364,2
793061028524792296,493425260,Queens,Astoria,40.75689850551847,-73.91639938963935,Private room,30.0,0,364,1
793077319627619018,150141586,Brooklyn,Crown Heights,40.67247,-73.92989,Entire home/apt,30.0,17,255,2
793077855709558476,418569010,Brooklyn,Flatlands,40.61929941329159,-73.92013433646216,Private room,30.0,10,365,1
793305335027186680,107434423,Brooklyn,Clinton Hill,40.6820059,-73.96747599999999,Entire home/apt,30.0,0,228,1210
793305971249108991,107434423,Manhattan,Murray Hill,40.744614,-73.974012,Entire home/apt,30.0,1,213,1210
793306261107429606,107434423,Manhattan,Kips Bay,40.740508,-73.978378,Entire home/apt,30.0,0,167,1210
793436180551697640,450642351,Queens,Bellerose,40.72964,-73.71975,Entire home/apt,30.0,2,174,2
793439340837320926,241454071,Bronx,Hunts Point,40.81691,-73.88546,Private room,2.0,87,256,3
793446715018744491,241454071,Bronx,Hunts Point,40.81758998807224,-73.88773938631341,Private room,30.0,18,196,3
793471885965153009,386023252,Manhattan,Washington Heights,40.8380568,-73.94346759999999,Private room,30.0,8,179,1
793539365815167335,493519247,Brooklyn,Bedford-Stuyvesant,40.6806856,-73.9352588,Shared room,2.0,118,363,1
793573252682592352,256064193,Queens,Laurelton,40.67547319099326,-73.74796066219604,Entire home/apt,30.0,1,365,1
790333576079499985,87372185,Manhattan,Washington Heights,40.8435336622892,-73.9406377518156,Private room,30.0,1,365,1
795767361445130827,491198242,Queens,Long Island City,40.74703,-73.94695,Private room,30.0,10,365,6
795842713599756998,48977510,Brooklyn,Downtown Brooklyn,40.691430236288696,-73.98406885771008,Entire home/apt,30.0,1,0,1
795853601050162136,60365737,Manhattan,Hell's Kitchen,40.76364,-73.99041,Private room,30.0,48,72,2
795905156272901704,65678148,Brooklyn,East New York,40.673961154096105,-73.87914272143081,Entire home/apt,30.0,34,249,1
796202435145665961,107434423,Manhattan,East Village,40.7289082,-73.9898209,Entire home/apt,30.0,0,167,1210
796272831722011455,494085113,Brooklyn,East Flatbush,40.639367774506745,-73.93221659860257,Private room,1.0,105,192,1
796277675829638670,489756011,Manhattan,Murray Hill,40.749021039803885,-73.98059006636483,Entire home/apt,30.0,2,342,31
796292950336850099,489756011,Manhattan,Midtown,40.74914,-73.98242,Entire home/apt,30.0,4,56,31
796330819102964562,489756011,Manhattan,Murray Hill,40.74708,-73.97692,Entire home/apt,30.0,10,364,31
796332140450277332,210934238,Brooklyn,Crown Heights,40.67412759066686,-73.95270717246456,Private room,30.0,30,365,1
796409313475568477,32368779,Brooklyn,Bedford-Stuyvesant,40.68165870997372,-73.91971812748821,Private room,30.0,22,364,13
793638699862272241,442517492,Brooklyn,Williamsburg,40.71323636227395,-73.953068106665,Private room,1.0,325,129,3
793641370570289731,442517492,Brooklyn,Williamsburg,40.71446363220053,-73.9513380099022,Private room,1.0,5,129,3
793689430315525053,493553636,Queens,Woodside,40.741921716797634,-73.90197066088405,Private room,30.0,9,363,1
793702435200340894,3223938,Brooklyn,Prospect-Lefferts Gardens,40.658408574337294,-73.94809416506268,Private room,30.0,0,365,560
793771032739364362,393625930,Brooklyn,Bedford-Stuyvesant,40.6777189,-73.92819329999999,Private room,30.0,6,74,2
793985712623454837,471548508,Manhattan,Harlem,40.8169,-73.94345,Private room,30.0,18,0,4
794071520594124768,2859194,Manhattan,Harlem,40.8087143,-73.9431907,Entire home/apt,30.0,0,365,1
794225336036117914,162280872,Manhattan,Greenwich Village,40.7346342,-73.992897,Entire home/apt,30.0,6,362,246
794387732348122664,5001656,Brooklyn,Bedford-Stuyvesant,40.68275089999999,-73.9371218,Entire home/apt,30.0,10,173,1
794696802406920855,43305568,Manhattan,Hell's Kitchen,40.76227179690797,-73.995836387426,Entire home/apt,30.0,11,0,1
794976846491282708,3787962,Brooklyn,Prospect Heights,40.6793503,-73.9668799,Entire home/apt,30.0,14,123,2
794987266231440933,15081024,Queens,Edgemere,40.59469085606677,-73.77884061907577,Private room,3.0,26,265,1
795110369832936703,139896539,Brooklyn,Fort Greene,40.6962962,-73.9720502,Private room,30.0,34,269,1
